name,year,miles,color,condition,price
BMW 3 Series,2021,"7,800 miles","Gray exterior, Beige interior","No accidents reported, 1 Owner","$30,999"
BMW 3 Series,2015,"117,179 miles","Black exterior, Black interior","No accidents reported, 4 Owners","$7,695"
BMW 3 Series,2016,"75,635 miles","White exterior, Black interior","No accidents reported, 1 Owner","$16,998"
BMW 3 Series,2013,"56,891 miles","Gold exterior, Black interior","No accidents reported, 1 Owner","$17,998"
BMW 3 Series,2020,"61,362 miles","Black exterior, Beige interior","No accidents reported, 1 Owner","$22,200"
BMW 3 Series,2011,"110,377 miles","White exterior, Beige interior","1 accident reported, 2 Owners","$6,998"
BMW 3 Series,2016,"101,891 miles","Black exterior, Beige interior","No accidents reported, 2 Owners","$11,995"
BMW 3 Series,2018,"44,001 miles","Black exterior, Black interior","No accidents reported, 3 Owners","$20,999"
BMW 3 Series,2020,"42,725 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$24,198"
BMW 3 Series,2021,"28,852 miles","White exterior, Black interior","No accidents reported, 1 Owner","$28,999"
BMW 3 Series,2016,"50,360 miles","Black exterior, Red interior","No accidents reported, 3 Owners","$17,450"
BMW 3 Series,2017,"59,572 miles","White exterior, Brown interior","No accidents reported, 3 Owners","$18,999"
BMW 3 Series,2011,"93,632 miles","Gray exterior, Gray interior","No accidents reported, 4 Owners","$7,500"
BMW 3 Series,2016,"50,360 miles","Black exterior, Red interior","No accidents reported, 3 Owners","$17,450"
BMW 3 Series,2021,"3,274 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$45,999"
BMW 3 Series,2015,"76,143 miles","Black exterior, Beige interior","1 accident reported, 5 Owners","$10,495"
BMW 3 Series,2016,"70,102 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$14,999"
BMW 3 Series,2021,"3,274 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$45,999"
BMW 3 Series,2011,"108,470 miles","Gray exterior, Unknown interior","No accidents reported, 4 Owners","$7,995"
BMW 3 Series,2016,"70,102 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$14,999"
BMW 3 Series,2019,"53,046 miles","White exterior, Beige interior","1 accident reported, 2 Owners","$21,999"
BMW 3 Series,2011,"108,470 miles","Gray exterior, Unknown interior","No accidents reported, 4 Owners","$7,995"
BMW 3 Series,2014,"44,920 miles","Black exterior, Brown interior","No accidents reported, 2 Owners","$18,998"
BMW 3 Series,2017,"57,798 miles","White exterior, Black interior","1 accident reported, 3 Owners","$19,998"
BMW 3 Series,2011,"112,325 miles","Black exterior, Black interior","1 accident reported, 3 Owners","$8,495"
BMW 3 Series,2020,"30,161 miles","White exterior, Black interior","No accidents reported, 1 Owner","$24,202"
BMW 3 Series,2021,"11,716 miles","Blue exterior, Black interior","No accidents reported, 1 Owner","$33,999"
BMW 3 Series,2018,"34,302 miles","Black exterior, Black interior","No accidents reported, 2 Owners","$23,998"
BMW 3 Series,2021,"48,625 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$38,999"
BMW 3 Series,2021,"11,716 miles","Blue exterior, Black interior","No accidents reported, 1 Owner","$33,999"
BMW 3 Series,2020,"25,563 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$25,965"
BMW 3 Series,2020,"24,655 miles","Black exterior, Beige interior","No accidents reported, 1 Owner","$29,998"
BMW 4 Series,2017,"70,468 miles","Gray exterior, Black interior","No accidents reported, 2 Owners","$20,998"
BMW 4 Series,2019,"53,278 miles","White exterior, White interior","No accidents reported, 2 Owners","$28,998"
BMW 4 Series,2021,"48,855 miles","White exterior, Red interior","No accidents reported, 1 Owner","$40,497"
BMW 4 Series,2021,"17,815 miles","Blue exterior, Black interior","No accidents reported, 1 Owner","$43,496"
BMW 4 Series,2016,"79,607 miles","Black exterior, Black interior","No accidents reported, 0 Owners","$15,777"
BMW 4 Series,2016,"85,987 miles","Black exterior, Black interior","No accidents reported, 2 Owners","$19,994"
BMW 4 Series,2016,"79,607 miles","Black exterior, Black interior","No accidents reported, 0 Owners","$15,777"
BMW 4 Series,2022,"6,647 miles","Blue exterior, Black interior","No accidents reported, 1 Owner","$49,999"
BMW 4 Series,2017,"58,597 miles","Black exterior, Black interior","No accidents reported, 2 Owners","$21,998"
BMW 4 Series,2021,"11,709 miles","Gray exterior, Black interior","No accidents reported, 1 Owner","$35,999"
BMW 4 Series,2021,"11,709 miles","Gray exterior, Black interior","No accidents reported, 1 Owner","$35,999"
BMW 4 Series,2016,"98,285 miles","White exterior, Unknown interior","No accidents reported, 3 Owners","$15,595"
BMW 5 Series,2013,"56,766 miles","White exterior, Black interior","No accidents reported, 3 Owners","$17,998"
BMW 5 Series,2020,"12,563 miles","White exterior, Black interior","No accidents reported, 1 Owner","$30,996"
BMW 5 Series,2023,"14,651 miles","White exterior, Black interior","No accidents reported, 1 Owner","$44,998"
BMW 5 Series,2023,"9,109 miles","Gray exterior, Black interior","No accidents reported, 1 Owner","$45,498"
BMW 5 Series,2023,"6,776 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$69,999"
BMW 5 Series,2023,"9,109 miles","Gray exterior, Black interior","No accidents reported, 1 Owner","$45,498"
BMW 5 Series,2017,"60,340 miles","Gray exterior, Unknown interior","No accidents reported, 1 Owner","$23,998"
BMW 5 Series,2014,"122,649 miles","Black exterior, Black interior","1 accident reported, 3 Owners","$11,995"
BMW 5 Series,2016,"73,181 miles","Silver exterior, Beige interior","No accidents reported, 3 Owners","$14,999"
BMW 5 Series,2016,"73,181 miles","Silver exterior, Beige interior","No accidents reported, 3 Owners","$14,999"
BMW 5 Series,2019,"41,249 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$25,999"
BMW 5 Series,2023,"6,321 miles","White exterior, Black interior","No accidents reported, 1 Owner","$51,187"
BMW 5 Series,2023,"5,533 miles","White exterior, Brown interior","No accidents reported, 1 Owner","$52,292"
BMW 5 Series,2023,"4,341 miles","White exterior, Black interior","No accidents reported, 1 Owner","$51,825"
BMW 5 Series,2023,"6,056 miles","White exterior, Black interior","No accidents reported, 1 Owner","$49,317"
BMW 5 Series,2003,"186,816 miles","Black exterior, Black interior","No accidents reported, 8 Owners","$6,997"
BMW 5 Series,2023,"6,321 miles","White exterior, Black interior","No accidents reported, 1 Owner","$51,187"
